WKT,name,Spots,Medium,Fast,Ultra Fast,X Coordinates,Y Coordinates
,,,,,,,
,Another building (figure out),35 spots,6,1,,,
POINT (34.9589984 29.5669246),t,,,,,34.9589984,29.5669246
,,,,,,,
,Shopping Center Parking Lot,225 spots,40,5,,,
no switchboard,,,,,,,
,,,,,,,
POINT (34.9355724 29.5556676),u,,,,,34.9355724,29.5556676
,,,,,,,
,Another building,72 spot,13,2,,,
POINT (34.935893 29.5498233),v,,,,,34.935893,29.5498233
,,,,,,,
,Residential,45 spots,8,1,,,
POINT (34.9568607 29.563888),w,,,,,34.9568607,29.563888
,,,,,,,
,Bowling Area Parking Lot,60 spots,11,1,,,
POINT (34.9309146 29.5529144),x,,,,,34.9309146,29.5529144
,,,,,,,
,Residential Parking lot,45 spots,8,1,,,
POINT (34.9420449 29.5579101),y,,,,,34.9420449,29.5579101
,,,,,,,
,School,70 spots,13,1,,,
POINT (34.9532136 29.5558562),z,,,,,34.9532136,29.5558562
,,,,,,,
POINT (34.9518282 29.5674187),Shopping Center Parking Lot,200 spots,36,4,,34.9518282,29.5674187
,,,,,,,
,Student Dorm,48 spots,9,1,,,
POINT (34.951535 29.5550276),aa,,,,,34.951535,29.5550276
,,,,,,,
,Shopping Center Parking Lot,80 spots,14,2,,,
POINT (34.9505849 29.5528293),ab,,,,,34.9505849,29.5528293
,,,,,,,
,Magistrate Court Parking Lot,100 spots,18,2,,,
POINT (34.9502127 29.553273),ac,,,,,34.9502127,29.553273
,,,,,,,
,Tennis Courts Parking Lot,56 spots,11,1,,,
POINT (34.957611 29.5693396),ad,,,,,34.957611,29.5693396
,,,,,,,
,Parking for Commercial,30 spots,5,1,,,
,,,,,,,
,,,,,,,
POINT (34.9586695 29.5691321),ae,,,,,34.9586695,29.5691321
,,,,,,,
,Parking for commercial sector,36 spots,6,1,,,
no switchboard,,,,,,,
POINT (34.9596619 29.5688345),af,,,,,34.9596619,29.5688345
,,,,,,,
,Parking for Commercial sector,29 spots,5,1,,,
no switchboard,,,,,,,
,,,,,,,
POINT (34.9527793 29.5488571),ag,,,,,34.9527793,29.5488571
,,,,,,,
,Shopping Center Parking Lot,115 lots,21,2,,,
POINT (34.9617422 29.5701168),ah,,,,,34.9617422,29.5701168
POINT (34.9562671 29.5678864),ai,,,,,34.9562671,29.5678864
,Gas Station,,,,4,,
,Supermarket Parking Lot,100 spots,18,2,,,
POINT (34.9535555 29.5501674),aj,,,,,34.9535555,29.5501674
,,,,,,,
,Shopping center lot,163 spots,29,3,,,
POINT (34.9558056 29.565437),ak,,,,,34.9558056,29.565437
,,,,,,,
,Shopping Center Parking Lot,100 spots,18,2,,,
POINT (34.9463399 29.5404402),al,,,,,34.9463399,29.5404402
29,,,,,,,
,Beaches Lots,144,26,3,,,
,,,,,,,
POINT (34.9463127 29.5460791),am,,,,,34.9463127,29.5460791
11,,,,,,,
,Lotus St,54,10,1,,,
,,,,,,,
POINT (34.9481449 29.5475745),an,,,,,34.9481449,29.5475745
8,,,,,,,
,Mish'ol HaEkaliptus lots,41,7,1,,,
,,,,,,,
POINT (34.9475371 29.5499006),ao,,,,,34.9475371,29.5499006
4,,,,,,,
,Bareket St and Sapir St,21,4,,,,
POINT (34.9501896 29.5503485),ap,,,,,34.9501896,29.5503485
20,,,,,,,
,Topaz St Giant Lot,100+,18,2,,,
,,,,,,,
POINT (34.9513333 29.5694663),aq,,,,,34.9513333,29.5694663
,,,,,,,
,Police Station Parking Lot,32 spots,5,1,,,
,,,,,,,
POINT (34.9309495 29.5412126),ar,,,,,34.9309495,29.5412126
POINT (34.9230304 29.5438816),as,,,,,34.9230304,29.5438816
POINT (34.9251108 29.5442194),Red Sea Lookout,19 parking spots,2,2,,34.9251108,29.5442194
POINT (34.9273953 29.5435335),residential parking,25 spots,5,,,34.9273953,29.5435335
POINT (34.9264297 29.5446812),doctor's office,18 spots,4,,,34.9264297,29.5446812
POINT (34.9262389 29.5454845),school lot,41 spots,8,,,34.9262389,29.5454845
POINT (34.9419577 29.5503784),school lot,53 spots,10,,,34.9419577,29.5503784
,park/synagogue lot,37 spots,8,,,,
POINT (34.9423412 29.5507611),residential,50,5,,,34.9423412,29.5507611
,,,,,,,
POINT (34.9340661 29.5460247),residential,32 spots,6,,,34.9340661,29.5460247
,,,,,,,
,park,39 spots,4,4,,,
POINT (34.9335846 29.5461722),at,,,,,34.9335846,29.5461722
,,,,,,,
POINT (34.9325117 29.5451922),street parking lot,,6,,,34.9325117,29.5451922
,,,,,,,
POINT (34.9300344 29.5429941),street parking,25 spots,5,,,34.9300344,29.5429941
,,,,,,,
,Point 62residential street parking,49 spots,10,,,,
,,,,,,,
,,total,690,80,28,,total
,,kWh,15180,4000,9800,,28980
