WKT,name,Desrciption,Weight,Neighborhood,X,Y,X Weight,Y Weight
POINT (34.9346164 29.5461286),Point 392,,1,18,34.9346164,29.5461286,34.9346164,29.5461286
POINT (34.9353023 29.5458681),Point 393,,1,18,34.9353023,29.5458681,34.9353023,29.5458681
POINT (34.9358001 29.545011),Point 394,,1,18,34.9358001,29.545011,34.9358001,29.545011
POINT (34.9354382 29.5447414),Point 395,,1,18,34.9354382,29.5447414,34.9354382,29.5447414
POINT (34.9357529 29.5441797),Point 396,,1,18,34.9357529,29.5441797,34.9357529,29.5441797
POINT (34.9355769 29.5432416),Point 397,,1,18,34.9355769,29.5432416,34.9355769,29.5432416
POINT (34.9353849 29.5435987),Point 398,,1,18,34.9353849,29.5435987,34.9353849,29.5435987
POINT (34.9346203 29.5434269),Point 399,,2,18,34.9346203,29.5434269,69.8692406,59.0868538
POINT (34.9341327 29.5438656),Point 400,,1,18,34.9341327,29.5438656,34.9341327,29.5438656
POINT (34.9336265 29.5433289),Point 401,,2,18,34.9336265,29.5433289,69.867253,59.0866578
POINT (34.9329077 29.5434129),Point 402,,2,18,34.9329077,29.5434129,69.8658154,59.0868258
POINT (34.9326395 29.5436043),Point 403,,1,18,34.9326395,29.5436043,34.9326395,29.5436043
POINT (34.9322908 29.5439823),Point 404,,2,18,34.9322908,29.5439823,69.8645816,59.0879646
POINT (34.9331437 29.5444863),Point 405,,1,18,34.9331437,29.5444863,34.9331437,29.5444863
POINT (34.9340661 29.5460247),Point 406,,2,18,34.9340661,29.5460247,69.8681322,59.0920494
POINT (34.9300344 29.5429941),Point 496,,2,21,34.9300344,29.5429941,69.8600688,59.0859882
POINT (34.9312468 29.5433018),Point 497,,1,21,34.9312468,29.5433018,34.9312468,29.5433018
POINT (34.9307315 29.5431304),Point 498,,1,21,34.9307315,29.5431304,34.9307315,29.5431304
POINT (34.9305938 29.542798),Point 499,,1,21,34.9305938,29.542798,34.9305938,29.542798
POINT (34.9300627 29.54254),Point 500,,2,21,34.9300627,29.54254,69.8601254,59.08508
POINT (34.9296668 29.5423053),Point 501,,2,21,34.9296668,29.5423053,69.8593336,59.0846106
POINT (34.9295648 29.5417966),Point 502,,1,21,34.9295648,29.5417966,34.9295648,29.5417966
POINT (34.9300152 29.5413685),Point 503,,1,21,34.9300152,29.5413685,34.9300152,29.5413685
POINT (34.93016 29.5411233),Point 504,,2,21,34.93016,29.5411233,69.86032,59.0822466
POINT (34.9304604 29.5413847),Point 505,,1,21,34.9304604,29.5413847,34.9304604,29.5413847
POINT (34.9287545 29.5412666),Point 506,,1,21,34.9287545,29.5412666,34.9287545,29.5412666
POINT (34.9280858 29.5414325),Point 507,,2,21,34.9280858,29.5414325,69.8561716,59.082865
POINT (34.9277612 29.5413625),Point 508,,1,21,34.9277612,29.5413625,34.9277612,29.5413625
POINT (34.9291371 29.5407811),Point 509,,1,21,34.9291371,29.5407811,34.9291371,29.5407811
POINT (34.9295984 29.5407205),Point 510,,1,21,34.9295984,29.5407205,34.9295984,29.5407205
POINT (34.9299739 29.540352),Point 511,,1,21,34.9299739,29.540352,34.9299739,29.540352
POINT (34.9301109 29.538872),Point 512,,2,21,34.9301109,29.538872,69.8602218,59.077744
POINT (34.929714 29.5385407),Point 513,,1,21,34.929714,29.5385407,34.929714,29.5385407
